time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-10-10T13:51:35.100Z,50.21,12.51,0,3.1,ml,7,211.4,,,us,usp000gjvu,2014-11-07T01:37:26.912Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-10T11:18:41.600Z,50.229,12.447,9,3.7,ml,36,162.8,,,us,usp000gjvc,2014-11-07T01:37:26.831Z,"Czech Republic",earthquake,,,,,reviewed,grf,ldg
2008-10-10T08:08:45.900Z,50.211,12.456,10.1,4.4,ml,59,52.1,,,us,usp000gjv2,2014-11-07T01:37:26.782Z,"Czech Republic",earthquake,,,,,reviewed,grf,ldg
2008-10-10T07:32:01.800Z,50.2,12.5,0,3.5,ml,16,191.5,,,us,usp000gjuz,2014-11-07T01:37:26.773Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-10T06:34:49.100Z,50.21,12.51,0,3.1,ml,7,262.6,,,us,usp000gjuw,2014-11-07T01:37:26.763Z,"Czech Republic",earthquake,,,,,reviewed,gfu,gfu
2008-10-10T06:27:21.200Z,50.2,12.47,1,3.1,ml,8,261.4,,,us,usp000gjuu,2014-11-07T01:37:26.754Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-10T05:13:55.600Z,50.2,12.46,1,2.8,ml,5,261.2,,,us,usp000gjup,2014-11-07T01:37:26.743Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-10T04:52:50.500Z,50.22,12.5,2,3.1,ml,11,260.9,,,us,usp000gjuh,2014-11-07T01:37:26.733Z,"Czech Republic",earthquake,,,,,reviewed,gfu,gfu
2008-10-10T04:22:16.800Z,50.2,12.46,2,3.2,ml,14,158.6,,,us,usp000gjud,2014-11-07T01:37:26.722Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-10T04:13:32.300Z,50.2,12.46,1,2.5,ml,4,217.2,,,us,usp000gjub,2014-11-07T01:37:26.719Z,"Czech Republic",earthquake,,,,,reviewed,gfu,gfu
2008-10-10T04:13:26.200Z,50.2,12.46,1,2.5,ml,7,251.9,,,us,usp000gjua,2014-11-07T01:37:26.716Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-10T03:22:05.100Z,50.219,12.446,10.2,4,ml,57,65.7,,,us,usp000gju4,2014-11-07T01:37:26.696Z,"Czech Republic",earthquake,,,,,reviewed,grf,grf
2008-10-10T03:18:36.100Z,50.19,12.53,0,2.9,ml,8,235.1,,,us,usp000gju3,2014-11-07T01:37:26.694Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-10T03:02:45.800Z,50.2,12.46,0,2.8,ml,9,233.8,,,us,usp000gju1,2014-11-07T01:37:26.690Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-09T22:20:35.300Z,50.232,12.546,5,3.5,ml,56,69.7,,,us,usp000gjtg,2014-11-07T01:37:26.516Z,"Czech Republic",earthquake,,,,,reviewed,csem,csem
2008-10-09T22:15:55.500Z,50.22,12.52,1,2.9,ml,8,211.7,,,us,usp000gjtf,2014-11-07T01:37:26.514Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-09T21:53:47.800Z,50.22,12.5,2,2.7,ml,6,262.8,,,us,usp000gjte,2014-11-07T01:37:26.512Z,"Czech Republic",earthquake,,,,,reviewed,gfu,gfu
2008-10-09T20:40:28.200Z,51.612,7.768,1,2.5,ml,14,195.9,,,us,usp000gjtc,2014-11-07T01:37:26.506Z,"Germany",earthquake,,,,,reviewed,grf,ldg
2008-10-08T02:32:07.900Z,50.16,12.38,0,2.7,ml,4,258.1,,,us,usp000gjp1,2014-11-07T01:37:25.088Z,"Czech Republic",earthquake,,,,,reviewed,gfu,ldg
2008-10-08T01:27:13.100Z,50.221,12.443,10.3,2.7,ml,6,131,,,us,usp000gjnz,2014-11-07T01:37:25.078Z,"Czech Republic",earthquake,,,,,reviewed,grf,gfu
2008-10-08T01:04:38.300Z,50.221,12.439,9.9,2.8,ml,12,120.2,,,us,usp000gjnx,2014-11-07T01:37:25.072Z,"Czech Republic",earthquake,,,,,reviewed,grf,gfu
